SWAPPER,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION,MAX_TOKEN_ROI,MIN_TOKEN_ROI,ROI_RANGE,IQR_ROI,UNIQUE_TOKENS_TRADED,TRADING_DAYS
ArUPhob7zRbg1mhV2EXWDoGYpL6DEdcw7VbgqjK65u4p,-0.3102641727,0.4615691407,-0.6721963292,0.2129277567,0.006152087696,1.658075636,-0.9363314666,2.594407102,0.6064544398,273,51
MEYWd6WSDV6jNb5pgsGBByRE9g2oJyxJXAymSyqnpag,-0.3103388774,0.3400369915,-0.9126614898,0.1666666667,0.03023823278,0.7033752478,-0.8777317193,1.581106967,0.4769744547,126,16
GBZNuL8EHxKcCbXbP4sTjWg2vFWcBgiYG3dP16FEz7NT,-0.3107152653,0.208366242,-1.491200891,0.02325581395,0.1031207924,0.1171243033,-0.7193875884,0.8365118917,0.3161862101,47,13
7uXTk1kob6MnDCq3n2iqhcMhqoGuKP2RWuTDPzHt14Rs,-0.3110444091,0.2446941361,-1.271154687,0.09090909091,0.07481212001,0.03863426199,-0.8821206302,0.9207548922,0.3095524679,39,18
3VSKGq1HVkReE82o5VTEEAnNrxRwQ3MLkRSRaiHwRwhj,-0.3112702648,0.3765797509,-0.826573719,0.2444444444,0.1865235978,0.4133680647,-0.9230905009,1.336458566,0.5787021701,73,24
6vXKctQrYNUqt16dWgBG52wv7L2epqM5Afw9k2NM6HD7,-0.3117206067,0.2821043592,-1.104983888,0.04255319149,0.06166740789,0.00612433902,-0.8890177197,0.8951420588,0.5145245185,67,15
33cvxYhiXSzY5kNFg2GLvAiM5YvF1rnnina4nzgnuSBn,-0.3117244941,0.3108785628,-1.002725066,0.1293103448,0.01343594405,0.3493331957,-0.8837268864,1.233060082,0.5182241419,137,25
4HwZPWHiftrcRuj4VpJqFhjRJzCfJMnngJYoHGU9ighE,-0.3119733957,0.3364092103,-0.9273644871,0.1764705882,0.06435006431,0.3398532982,-0.8783094311,1.218162729,0.4869427817,22,15
6VK4tf1T2W3iAtnFRWaBXWEdDSBiXMYUJwAxfeqyjgs9,-0.3122237719,0.4572173692,-0.6828775124,0.1261261261,0.01931235168,1.95076614,-0.8926450596,2.8434112,0.5293448406,164,67
H4A1p7ATvTRRvspobeU3m4bQjApNJbkfhAzvaxmmsQNE,-0.3123331655,0.5858489494,-0.5331279344,0.2307692308,0.09776203624,2.030952751,-0.897766202,2.928718953,0.5976928289,31,17
APfsXQDEvAJJ1ggTFm2XMAM7CutaK4Pcnbq2VPU7k13G,-0.3124525795,0.6032887605,-0.5179149481,0.358974359,0.1025641007,1.158035055,-0.9210539118,2.079088967,0.9425042772,44,12
4TjhvYrnySr9JWxEPPNGYEA8WmA2nM5RCpqeR7XevQHx,-0.3129459217,0.4070814789,-0.7687532971,0.1842105263,0.05211813427,0.9873265581,-0.9118921435,1.899218702,0.4745473552,73,34
7mQRxHuovCbf3naekLCsAMThPbtxpfDe3agiLXw95qXE,-0.3131297113,0.4785084181,-0.6543890583,0.3461538462,0.1279820581,0.3684228866,-0.8843169294,1.252739816,1.010776579,28,10
4FuCKPundmbc9iDpweoaDwgb93irvahvJKXL11eEdK3m,-0.3133067015,0.4469698699,-0.7009576891,0.25,0.05269239854,0.9832477787,-0.844551641,1.82779942,0.6586559598,60,14
AYffFm2V6Ns6CpjLCPhzFUYwp5dAjp8pVDQZYEsdzWpk,-0.3138474945,0.6464045689,-0.4855265031,0.06896551724,0.1271076433,2.7016565,-0.8810352131,3.582691713,0.5574820939,34,20
AWNY6ZxipVLQ6PXp7gLH3GsocRYKszTdWmEG2ikFmv51,-0.3145147374,0.3818054101,-0.8237581766,0.2105263158,0.1276340402,0.2346938111,-0.9238251952,1.158519006,0.7041129512,29,10
A5HzFBR3MVkZq8y9oPCyZja8YF537C2N7nwgVjAaHm8B,-0.3150639742,0.3067811109,-1.026999822,0.08695652174,0.0752114444,0.01737188825,-0.9050527049,0.9224245932,0.4217658879,29,10
HeRbiKurgjZyRs6CpzcJn3tHh8ANU4yxpciFbSN1pKXm,-0.3151392086,0.2796459801,-1.12692323,0.1666666667,0.290733756,0.07983532294,-0.7954006334,0.8752359563,0.3445025902,16,14
DCwJwSu3dGVdUpniAVeTD6rfUbDPbJgw1fyApx892Ndy,-0.3152239189,0.3634092382,-0.8674034157,0.1234567901,0.03715131444,1.028292239,-0.8909564224,1.919248661,0.5457119336,92,15
Cc3cZqQUXmgjttdXQLKB6Rae3q46TBaey7M4KBVimQQe,-0.3157444902,0.3632277868,-0.8692740359,0.1363636364,0.06909915322,0.6538440202,-0.7715282398,1.42537226,0.6247930372,30,19
6XtcE2nLvvzDFbgiYTMVxVJnHyr3VWSXrJa11BzjUkRM,-0.3159748829,0.3159853672,-0.9999673923,0.1304347826,0.07107306698,0.2890156557,-0.8074540112,1.096469667,0.5696410954,25,10
BZQdbsBHK6MCuFN5TVs67VWEtK9DF8Ff21kYpqBUwnf8,-0.3161753841,0.3967393701,-0.7969367021,0.3076923077,0.103400261,0.3499349591,-0.877254848,1.227189807,0.6815271517,36,23
7p2DJ8meinBw6CbsrqgChjLYTAFsjRpiwxwAwDsoZhQY,-0.3162581748,0.3013288935,-1.049545451,0.1724137931,0.01430426389,0.4716133773,-0.6808734617,1.152486839,0.3813112732,103,17
86UDJUGT1TbPN5yW2nMYgMqxQNAiCFgHcEVVcRJaTQe8,-0.3162640734,0.4186643555,-0.7554119295,0.1818181818,0.2182257107,0.9253674229,-0.8382980509,1.763665474,0.4889297737,25,19
Dg7dWwD21fMBcqquJDYCSR4MNL2rrtX1M5RFVKaRWwrp,-0.3166941641,0.3141362669,-1.008144297,0.2,0.02935650071,0.6539304499,-0.8622638239,1.516194274,0.5370844564,94,11
53LpoPiNEHJ8YKHi8LJNYP45F1b76ka5apPiotc1UFtF,-0.3167491832,0.3690047796,-0.8583878716,0.1538461538,0.06170382104,0.5294503349,-0.8547551591,1.384205494,0.5947895113,34,18
HQKQxcXGYvKPs5cABaDajEeqQyGEetAP1eaoMA7uJYCA,-0.3167750767,0.4223865434,-0.7499659354,0.1830985915,0.08701246477,1.07637087,-0.8967457758,1.973116646,0.7224534749,81,27
FAUTfPnBpsSxkhtwMNcdhytt4Ls4gvsjyu3PZrG9iMmG,-0.3167756427,0.3104034552,-1.020525708,0,0.162231552,-1.375979865e-8,-0.8258552938,0.82585528,0.5644773074,18,18
