WALLET_ADDRESS,UNIQUE_TOKENS,TOTAL_PNL,TOTAL_TRADES,PNL_CATEGORY,TOKEN_COUNT_CATEGORY
J8R5227FYk5SCQt1YEMnk2yJ42sQMEu86ZThZNJPQevr,1,-0.149222304,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
Ad9qrCgLQp8iVZCKDumKfytNKfpN8i36SoNpQWjXvqHU,1,-0.117694499,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
2oddsFhcypSB4NoKqTHjmuZGmrb8RgH54VTBSWEKkSM6,1,-2.15e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3FVsMASS4GhVWQJUjEyabuoyD2FPsmiLZ2Uqhsxn9HTZ,1,-0.538132243,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
5jee5svWVctg2ojMy5Gr1ixvfaZESsEaSmacVLu2Zjyt,1,-0.343382456,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
4BjnzVLUvwZBejfMxRGLpunoEpYpMjxYtaZuRo4STewv,1,-0.037378241,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
FAskcxME6Mz7jCjpjcxWhhbwU42p9M5m5FgGoAQ5ygrs,1,-0.163082189,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
DYwMMghtSw2QeKNVromv3baVqVtJrWMSPWySLJdBHHJw,1,-0.491962487,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
FEDC2QkFJSbCfFaJqMUtjATWPsng1mN4wnHqwVhgB7ff,1,-0.361002907,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
Gzc3qZD4LDQKuyBn8KPNbmZ4YSpvjCxAY9BLPecZbFMT,1,-0.487120293,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
HrQa8znY2Uknd8T1k6mjeH39aV3vrCdqLyWPnt96qzkN,1,-0.143892032,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
5txMbdQJvTmrHNiAXeodVBwpYip3YKfarZ8Z4MDm3pUe,1,-0.061458139,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
6HARfNSkcEXCaLe7n2RmYCsZgLCRqCv7ojBTWVDArJFp,1,-1.099999999e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
81NF5FCwaxRNL36vzBEeka1GxSUvnVWFQw6qnfHwBDSA,1,-1.599999995e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
4Bcw6ghyZRMXTkGnk2zPWDUtyr87g5pTiGdULY7FTmWe,1,-0.194099393,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
3GJnvcKYokyYZxQCNzEtgX6iByaCgyPLpcGbwC6n7Hfv,1,-0.257583773,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
8QE1emXEXE76JG9sLm6sypDQddTJPo8kfuxmSpEFu9km,1,-0.11630132,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
7Ny1RKU3k4fi7EKAvrmLjpPgcphL1KjMVjczKmYo6MyF,1,-0.412762979,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
C8GSpgHYYXTDgWhjXme8JTCAAcCd6jaaDPtC9Ckgezuv,1,-0.594932696,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
BawBveEK9M11q4vEdD2aSndZSAuiNfZDFcqvqQXpdgR4,1,-2.599999999e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
FAa8MPNkWEfRFrz3kCKCy3d22Q4Ra1pHY24crRPzrfLK,1,-0.354761688,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
2t4t3vmjn9jNpkoY7Pdf7S1Zb3eKdSe4HsnCZvJ22sjj,1,-0.451035815,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
6jiJr7w9yv1VqV4GATPKU5DhYiqqSud2mVz1KhTr8U5p,1,1.874631591,1,MEDIUM PROFIT (1 to 5 SOL),VERY LOW (≤10)
AGdiUVsQvPNJrJgYGitjf8xAvjgjCX8fNrPU65nqiHNK,1,-0.6983886,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
Hfck4iWL7YvoK7vVjXtm7mQLJExizEejk7Jk3Wg5GBMA,1,-1.800000011e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
7T5x8XEmop1BfedF3zTTvTkED75Q2vAAdr8SZeZrxRYU,1,-0.187630396,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
D4ZaMAK2HkVe2MCrpQbjCxy8Xbk8myW3KsCgtr2yNGXX,1,-3.11e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3M9RrXGRgjQ6YFnZ7Mg4meC2MYwHZ7vkbyPNKj9XoLYM,1,-0.306983685,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
QvmKMxtPMwJ8QgDFC9F3fQSb5UnGR5JTAB5n2CMcqZP,1,-2.100000002e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
GjnikMN1m3ZemQtcULSHUA62FgM1hFpaCFhTfLxXFFBu,1,-0.109049559,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
6jNkeQdpyEBrcftbRm53hhTpdcZEcUjW6DSxvAfiYu7X,1,-2.569999999e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
2g9kwagkJELa9YeCUYRuFCwM1Q1N92AkSPuqCHcXvLmQ,1,-2.900000001e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3QcLwmKRm73wfkuhgQB4TjHHJJHixYDMGtkCbBYNBQkb,1,0.311532591,1,SMALL PROFIT (0.1 to 1 SOL),VERY LOW (≤10)
6RduiVjFGHbuUqTfCS5qibhbK1qWDpQpYwoXDwv2xPL6,1,-0.328534517,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
C4cdCGNiL1rAcaxV9wZj7fz8UjpDStxx6pVcnUsirg1d,1,-1.099999998e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
H8bEW3Qo7ec7BppiY1sviZDmGRnr19Mzdde5Ek1ZwhhY,1,-1.700000002e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
99sgnyGTEtkrdjEnQ7p9TfF1X5gWa8QSJXZfGaFBr6EM,1,0.254116926,1,SMALL PROFIT (0.1 to 1 SOL),VERY LOW (≤10)
Cchhi9b7SwxHuX8ZqfTd21HYWfLCZ4C9FQMWzetDY31T,1,0.001891443,1,MINIMAL PROFIT (0 to 0.1 SOL),VERY LOW (≤10)
DcY9PuzpfuMe94NKmNU3WxQynwccPHF7cFwhHeuEFQHT,1,-1.360000002e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
EELmLMQBxXxdKhA6KWxgKkUZMntfFgtmktS3Ma9phM2y,1,-2.409999995e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
65MzsZkBs8gvVB5hV8kcUdjHrw1jNTi78wqU74Hkzen,1,-0.503232404,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
Fj462ZzRFmzJ4vC2YuKrxuPCBzHaZa87a5KP4rTi4nzp,1,-2.100000002e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
AR9SpRAqimN4szKiqnvtW9MHr26FH7t7GVPwGzgU2W94,1,-6.999999991e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
