USER_GROUP,TOTAL_PNL,WALLET_COUNT
active,-15.942885785,1
active,-15.863862366,1
active,-15.663426031,1
active,-15.619126775,1
active,-15.588428898,1
active,-15.583979292,1
active,-15.50191086,1
active,-15.49376551,1
active,-15.395801889,1
active,-15.27747069,1
active,-15.223250611,1
active,-15.113556409,1
active,-15.090567728,1
active,-15.081563905,1
active,-15.010027973,1
active,-14.920139572,1
active,-14.876807044,1
active,-14.814617813,1
active,-14.786588536,1
active,-14.681349603,1
active,-14.593548632,1
active,-14.555244319,1
active,-14.550606288,1
active,-14.506517946,1
active,-14.449819502,1
active,-14.215225414,1
active,-14.09402267,1
active,-13.944799797,1
active,-13.825766153,1
active,-13.757606519,1
active,-13.638583745,1
active,-13.634150325,1
active,-13.501114954,1
active,-13.202689347,1
active,-13.076908131,1
active,-13.023166734,1
active,-12.969719882,1
active,-12.964914958,1
active,-12.900678104,1
active,-12.873605216,1
active,-12.862673567,1
active,-12.766126887,1
active,-12.74809903,1
active,-12.719676594,1
active,-12.693010884,1
active,-12.681337868,1
active,-12.559750726,1
active,-12.533330005,1
active,-12.516868879,1
active,-12.501534733,1
active,-12.474466039,1
active,-12.394701862,1
active,-12.390778056,1
active,-12.331626036,1
active,-12.284922134,1
active,-12.241114518,1
active,-12.143227591,1
active,-12.14009809,1
active,-12.130023096,1
active,-12.123112799,1
active,-12.121003987,1
active,-12.052580196,1
active,-12.036456915,1
active,-12.026571209,1
active,-11.843478726,1
active,-11.783062715,1
active,-11.72796243,1
active,-11.647462688,1
active,-11.641790601,1
active,-11.58981645,1
active,-11.487176961,1
active,-11.480311269,1
active,-11.454278013,1
active,-11.342980958,1
active,-11.267362938,1
active,-11.15969532,1
active,-11.096384285,1
active,-11.046386375,1
active,-11.039409557,1
active,-10.963727512,1
active,-10.963718837,1
active,-10.939929947,1
active,-10.920973385,1
active,-10.896620962,1
active,-10.807445855,1
active,-10.750110778,1
active,-10.59620083,1
active,-10.500863733,1
active,-10.401798134,1
active,-10.383209743,1
active,-10.295911034,1
active,-10.276604362,1
active,-10.267747438,1
active,-10.236807292,1
active,-10.213554521,1
active,-10.144370126,1
