WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
BFgVW7xUcYf1Q1VoiJ1iu7hNYXdoNfQjW1szeCp1NTrx,EXITED,1,0.2566949881,0.9907746549,0.2590851379,0.5,0.5,GAIN_25_TO_50,14,2,0,0,12,1,1,32,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
cKdJvMhtJjPuR9KTziGMuYYqhG2sG9vXuF6nPYsBRfX,EXITED,1,0.2475258441,1.357041695,0.1824010603,1,0,GAIN_10_TO_25,11,10,0,0,1,10,0,33,"null","null"
7JxnHd919P17WoYGKbuxd7mScAhgnWJqnBM6HePnG2xa,EXITED,1,0.2474287414,0.7789511407,0.3176434675,0.8,0.2,GAIN_10_TO_25,5,5,0,0,0,5,0,34,"null","null"
4rR6LRUnzrLFYjb5amPZx71YuNXa1YeY53T65134yt65,EXITED,1,0.2457179544,0.2826122733,0.8694525242,0.5555555556,0.4444444444,GAIN_10_TO_25,9,9,0,0,0,9,0,35,"null","null"
57RK4BV9doY92JiL8frknB5ABDppMTBgLduXfqSkzA8V,EXITED,1,0.2414387027,1.569011503,0.1538794982,0.92,0.08,GAIN_10_TO_25,50,50,0,0,0,50,0,36,"null","null"
87Z78cnzinU4Gg1MaD8dHVr8kDW7xVTU3iafeCmrPFS4,ACTIVE,0,0.2330217356,0.5554587817,0.4195122002,0.75,0.25,GAIN_10_TO_25,12,12,0,0,0,12,0,37,"null","null"
HJCw2qhBfjGGpfofoe9fuxfmCymVdPv6sXX7QE8wemGZ,ACTIVE,0,0.2273174535,0.4546976005,0.4999310603,0.7777777778,0.2222222222,GAIN_10_TO_25,15,9,0,0,6,8,1,38,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
DivVXrnNz3zxtCn6xQsMjszdjgwnC6EU3oXhNwdqRL1s,ACTIVE,0,0.2272938216,0.4190570896,0.5423934524,0.5,0.5,GAIN_10_TO_25,6,6,0,0,0,6,0,39,"null","null"
C99fY2ciuwXcSi7JV5UQYdj67rcesg1UcTbbUnyy61tQ,ACTIVE,0,0.2230991676,0.3452780671,0.6461434678,0.5555555556,0.4444444444,GAIN_10_TO_25,19,18,1,0.05263157895,0,17,2,40,"null",참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
B1uErt1KRe24g38eGm1NbhEHkz6gmiwpPrTEQf3yu39D,EXITED,1,0.2202582892,1.029077236,0.2140347503,0.75,0.25,GAIN_10_TO_25,7,4,0,0,3,3,1,41,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
